,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,66.33680510520935,0.443283460779901,0.024350547790527345,0.002915667984556002,squared_error,10,"{'criterion': 'squared_error', 'n_estimators': 10}",-0.015800447148937233,-0.01425700083449788,-0.015345687304313878,-0.016140791280196676,-0.014348436130241822,-0.015178472539637496,0.0007588071026112133,9,-0.0030531838322118876,-0.0030558395617620742,-0.0030643980501310394,-0.0029189329943515876,-0.003103151988169667,-0.003039101285325251,6.27077746773459e-05
1,102.83404240608215,4.291451218987509,0.04164786338806152,0.007899875622483243,squared_error,15,"{'criterion': 'squared_error', 'n_estimators': 15}",-0.01495849127052628,-0.013803724965107076,-0.014570415530299677,-0.015497506169364478,-0.013392052427520191,-0.014444438072563539,0.0007625093125533819,8,-0.002574229120388964,-0.0025415542045059683,-0.0025355544934736332,-0.0025836304048583547,-0.0026379023317137144,-0.002574574110988127,3.662087872379373e-05
2,135.6552381515503,1.4566924884665766,0.03547935485839844,0.0032943058339829443,squared_error,20,"{'criterion': 'squared_error', 'n_estimators': 20}",-0.014512735599150948,-0.013567154250093772,-0.013476338961131288,-0.014863650007523908,-0.013117162954240688,-0.013907408354428122,0.0006643644545263025,5,-0.0024413747325597365,-0.0022406036241305527,-0.0022859162722122413,-0.0023966860636379025,-0.0023714332513507844,-0.0023472027887782433,7.351664276785346e-05
3,166.59156250953674,3.5280800785009245,0.04306516647338867,0.0060373649446903285,squared_error,25,"{'criterion': 'squared_error', 'n_estimators': 25}",-0.014257465769459722,-0.013340869851008545,-0.01335336561767433,-0.014531695588575958,-0.012088618887887143,-0.013514403142921138,0.0008574303023321796,2,-0.0022837834785990703,-0.0021977254202839975,-0.0021612211390660617,-0.0022265900342290936,-0.0022321158388374724,-0.0022202871822031393,4.051975634231059e-05
4,196.15021171569825,1.2885004123359725,0.04538254737854004,0.006299323229471383,squared_error,30,"{'criterion': 'squared_error', 'n_estimators': 30}",-0.013682058563863505,-0.013041339244545737,-0.013441273890014852,-0.015335539346737034,-0.012145442776622018,-0.01352913076435663,0.0010437193801907851,3,-0.0022344152871267365,-0.0020671268070532856,-0.0021019188348669077,-0.0021155799803956746,-0.002166213176815601,-0.0021370508172516406,5.816339645033206e-05
5,66.1633780002594,0.5080544048361783,0.023515748977661132,0.0015048599464968463,friedman_mse,10,"{'criterion': 'friedman_mse', 'n_estimators': 10}",-0.016296863502574074,-0.014895297285480606,-0.015013307330324686,-0.01651993299292056,-0.014506934297857517,-0.015446467081831488,0.0008061811833054501,10,-0.0030159984270093864,-0.003081596591115807,-0.0030903619190559973,-0.002937473275113315,-0.00316162958421487,-0.0030574119593018752,7.5673348317758e-05
6,99.90211496353149,0.8322138909462664,0.033046722412109375,0.006048718148972793,friedman_mse,15,"{'criterion': 'friedman_mse', 'n_estimators': 15}",-0.014179285123924508,-0.013329335015630306,-0.014263164143066952,-0.015492860082203172,-0.013059225147135931,-0.014064773902392174,0.0008536861601054465,6,-0.0025147976461810536,-0.002519818852364563,-0.0025513317871295443,-0.0025435928563364114,-0.0026183369479151155,-0.0025495756179853375,3.704583777903255e-05
7,135.28514733314515,1.8609510403410943,0.03787441253662109,0.009916592256251727,friedman_mse,20,"{'criterion': 'friedman_mse', 'n_estimators': 20}",-0.014133368645221831,-0.013844275738400769,-0.014182186806802267,-0.01571497407276488,-0.012835574830988242,-0.014142076018835598,0.0009242643931900325,7,-0.0023986791376349684,-0.0023258395701837957,-0.0023914271631244413,-0.0023774047107314976,-0.002438423971064382,-0.002386354910547817,3.641706709415202e-05
8,170.3117645740509,2.276841987142306,0.04076542854309082,0.0017090359269183494,friedman_mse,25,"{'criterion': 'friedman_mse', 'n_estimators': 25}",-0.014292063776180506,-0.01282602996413412,-0.014299697204723995,-0.014802691241587571,-0.012465415534466399,-0.013737179544218516,0.0009173020288083573,4,-0.0022742765208340955,-0.002162821965421626,-0.0021999554499512273,-0.0022392609433725397,-0.00226304886264742,-0.0022278727484453817,4.130699701787286e-05
9,199.23100390434266,1.688355778645464,0.04850358963012695,0.011302741691674415,friedman_mse,30,"{'criterion': 'friedman_mse', 'n_estimators': 30}",-0.013803290388442264,-0.012676566038782372,-0.012956656463807717,-0.014628057477964097,-0.012739348537870742,-0.01336078378137344,0.0007509260002579021,1,-0.00219524365922197,-0.0020636851965675435,-0.0020795648967179654,-0.0021258779477131627,-0.0021912763385954653,-0.0021311296077632215,5.470555508219483e-05
